day,channel_type,num_posts
2021-06-03 00:00:00-07,link,4
2021-06-03 00:00:00-07,chat,1459
2021-06-03 00:00:00-07,post,18
2021-06-02 00:00:00-07,publish,15
2021-06-02 00:00:00-07,post,4
2021-06-02 00:00:00-07,link,5
2021-06-02 00:00:00-07,chat,1253
2021-06-01 00:00:00-07,publish,20
2021-06-01 00:00:00-07,link,14
2021-06-01 00:00:00-07,chat,1378
2021-05-31 00:00:00-07,link,6
2021-05-31 00:00:00-07,publish,5
2021-05-31 00:00:00-07,chat,868
2021-05-30 00:00:00-07,chat,1030
2021-05-30 00:00:00-07,post,1
2021-05-30 00:00:00-07,link,1
2021-05-30 00:00:00-07,publish,10
2021-05-29 00:00:00-07,post,2
2021-05-29 00:00:00-07,link,2
2021-05-29 00:00:00-07,publish,12
2021-05-29 00:00:00-07,chat,875
2021-05-28 00:00:00-07,link,5
2021-05-28 00:00:00-07,publish,14
2021-05-28 00:00:00-07,chat,1626
2021-05-28 00:00:00-07,post,24
2021-05-27 00:00:00-07,chat,2343
2021-05-27 00:00:00-07,post,7
2021-05-27 00:00:00-07,link,3
2021-05-27 00:00:00-07,publish,18
2021-05-26 00:00:00-07,publish,22
2021-05-26 00:00:00-07,link,9
2021-05-26 00:00:00-07,post,2
2021-05-26 00:00:00-07,chat,1188
2021-05-25 00:00:00-07,chat,1078
2021-05-25 00:00:00-07,post,4
2021-05-25 00:00:00-07,publish,11
2021-05-25 00:00:00-07,link,3
2021-05-24 00:00:00-07,link,1
2021-05-24 00:00:00-07,chat,1628
2021-05-24 00:00:00-07,post,6
2021-05-24 00:00:00-07,publish,30
2021-05-23 00:00:00-07,link,2
2021-05-23 00:00:00-07,post,2
2021-05-23 00:00:00-07,publish,11
2021-05-23 00:00:00-07,chat,389
2021-05-22 00:00:00-07,publish,11
2021-05-22 00:00:00-07,chat,752
2021-05-22 00:00:00-07,post,6
2021-05-22 00:00:00-07,link,18
2021-05-21 00:00:00-07,post,7
2021-05-21 00:00:00-07,link,9
2021-05-21 00:00:00-07,chat,1138
2021-05-21 00:00:00-07,publish,8
2021-05-20 00:00:00-07,post,3
2021-05-20 00:00:00-07,publish,12
2021-05-20 00:00:00-07,link,8
2021-05-20 00:00:00-07,chat,1292
2021-05-19 00:00:00-07,post,1
2021-05-19 00:00:00-07,chat,1251
2021-05-19 00:00:00-07,link,4
2021-05-19 00:00:00-07,publish,10
2021-05-18 00:00:00-07,publish,4
2021-05-18 00:00:00-07,link,2
2021-05-18 00:00:00-07,post,2
2021-05-18 00:00:00-07,chat,1919
2021-05-17 00:00:00-07,publish,34
2021-05-17 00:00:00-07,link,14
2021-05-17 00:00:00-07,chat,1089
2021-05-17 00:00:00-07,post,6
2021-05-16 00:00:00-07,link,3
2021-05-16 00:00:00-07,publish,19
2021-05-16 00:00:00-07,chat,771
2021-05-16 00:00:00-07,post,1
2021-05-15 00:00:00-07,publish,9
2021-05-15 00:00:00-07,chat,757
2021-05-15 00:00:00-07,link,4
2021-05-14 00:00:00-07,publish,21
2021-05-14 00:00:00-07,chat,1416
2021-05-14 00:00:00-07,link,14
2021-05-14 00:00:00-07,post,8
2021-05-13 00:00:00-07,post,2
2021-05-13 00:00:00-07,chat,1580
2021-05-13 00:00:00-07,publish,15
2021-05-13 00:00:00-07,link,17
2021-05-12 00:00:00-07,publish,12
2021-05-12 00:00:00-07,link,5
2021-05-12 00:00:00-07,chat,1249
2021-05-11 00:00:00-07,publish,30
2021-05-11 00:00:00-07,link,18
2021-05-11 00:00:00-07,chat,1402
2021-05-11 00:00:00-07,post,2
2021-05-10 00:00:00-07,post,5
2021-05-10 00:00:00-07,publish,17
2021-05-10 00:00:00-07,link,9
2021-05-10 00:00:00-07,chat,1554
2021-05-09 00:00:00-07,link,9
2021-05-09 00:00:00-07,publish,9
2021-05-09 00:00:00-07,chat,640
2021-05-08 00:00:00-07,publish,9
2021-05-08 00:00:00-07,chat,769
2021-05-08 00:00:00-07,link,6
2021-05-07 00:00:00-07,link,6
2021-05-07 00:00:00-07,post,8
2021-05-07 00:00:00-07,publish,15
2021-05-07 00:00:00-07,chat,1618
2021-05-06 00:00:00-07,chat,1908
2021-05-06 00:00:00-07,link,13
2021-05-06 00:00:00-07,publish,3
2021-05-06 00:00:00-07,post,5
2021-05-05 00:00:00-07,chat,1387
2021-05-05 00:00:00-07,link,6
2021-05-05 00:00:00-07,publish,13
2021-05-04 00:00:00-07,publish,11
2021-05-04 00:00:00-07,post,5
2021-05-04 00:00:00-07,chat,1669
2021-05-04 00:00:00-07,link,10
2021-05-03 00:00:00-07,link,16
2021-05-03 00:00:00-07,publish,33
2021-05-03 00:00:00-07,chat,1673
2021-05-03 00:00:00-07,post,7
2021-05-02 00:00:00-07,link,7
2021-05-02 00:00:00-07,post,6
2021-05-02 00:00:00-07,chat,558
2021-05-02 00:00:00-07,publish,18
2021-05-01 00:00:00-07,publish,15
2021-05-01 00:00:00-07,chat,821
2021-05-01 00:00:00-07,post,5
2021-05-01 00:00:00-07,link,3
2021-04-30 00:00:00-07,publish,25
2021-04-30 00:00:00-07,post,12
2021-04-30 00:00:00-07,chat,1375
2021-04-30 00:00:00-07,link,5
2021-04-29 00:00:00-07,post,7
2021-04-29 00:00:00-07,link,8
2021-04-29 00:00:00-07,publish,16
2021-04-29 00:00:00-07,chat,2651
2021-04-28 00:00:00-07,post,3
2021-04-28 00:00:00-07,publish,19
2021-04-28 00:00:00-07,link,3
2021-04-28 00:00:00-07,chat,1476
2021-04-27 00:00:00-07,publish,42
2021-04-27 00:00:00-07,link,5
2021-04-27 00:00:00-07,post,1
2021-04-27 00:00:00-07,chat,1926
2021-04-26 00:00:00-07,link,13
2021-04-26 00:00:00-07,chat,1504
2021-04-26 00:00:00-07,post,12
2021-04-26 00:00:00-07,publish,47
2021-04-25 00:00:00-07,publish,26
2021-04-25 00:00:00-07,chat,1017
2021-04-25 00:00:00-07,link,2
2021-04-25 00:00:00-07,post,4
2021-04-24 00:00:00-07,chat,973
2021-04-24 00:00:00-07,publish,10
2021-04-24 00:00:00-07,link,2
2021-04-24 00:00:00-07,post,9
2021-04-23 00:00:00-07,post,11
2021-04-23 00:00:00-07,link,8
2021-04-23 00:00:00-07,publish,34
2021-04-23 00:00:00-07,chat,2346
2021-04-22 00:00:00-07,link,7
2021-04-22 00:00:00-07,publish,23
2021-04-22 00:00:00-07,chat,1754
2021-04-22 00:00:00-07,post,8
2021-04-21 00:00:00-07,post,10
2021-04-21 00:00:00-07,publish,25
2021-04-21 00:00:00-07,link,7
2021-04-21 00:00:00-07,chat,2434
2021-04-20 00:00:00-07,chat,1830
2021-04-20 00:00:00-07,post,29
2021-04-20 00:00:00-07,link,5
2021-04-20 00:00:00-07,publish,20
2021-04-19 00:00:00-07,link,6
2021-04-19 00:00:00-07,chat,2026
2021-04-19 00:00:00-07,publish,31
2021-04-19 00:00:00-07,post,8
2021-04-18 00:00:00-07,link,2
2021-04-18 00:00:00-07,chat,846
2021-04-18 00:00:00-07,post,8
2021-04-18 00:00:00-07,publish,22
2021-04-17 00:00:00-07,chat,1180
2021-04-17 00:00:00-07,publish,17
2021-04-17 00:00:00-07,link,1
2021-04-16 00:00:00-07,link,1
2021-04-16 00:00:00-07,publish,26
2021-04-16 00:00:00-07,post,15
2021-04-16 00:00:00-07,chat,1991
2021-04-15 00:00:00-07,publish,22
2021-04-15 00:00:00-07,post,7
2021-04-15 00:00:00-07,chat,2416
2021-04-15 00:00:00-07,link,16
2021-04-14 00:00:00-07,link,9
2021-04-14 00:00:00-07,publish,13
2021-04-14 00:00:00-07,chat,2122
2021-04-14 00:00:00-07,post,14
2021-04-13 00:00:00-07,chat,1596
2021-04-13 00:00:00-07,post,10
2021-04-13 00:00:00-07,publish,12
2021-04-13 00:00:00-07,link,10
2021-04-12 00:00:00-07,link,12
2021-04-12 00:00:00-07,post,6
2021-04-12 00:00:00-07,chat,1997
2021-04-12 00:00:00-07,publish,17
2021-04-11 00:00:00-07,post,4
2021-04-11 00:00:00-07,publish,10
2021-04-11 00:00:00-07,chat,1033
2021-04-10 00:00:00-07,link,4
2021-04-10 00:00:00-07,chat,1029
2021-04-10 00:00:00-07,publish,26
2021-04-10 00:00:00-07,post,1
2021-04-09 00:00:00-07,chat,2116
2021-04-09 00:00:00-07,link,11
2021-04-09 00:00:00-07,publish,45
2021-04-09 00:00:00-07,post,9
2021-04-08 00:00:00-07,chat,2195
2021-04-08 00:00:00-07,link,2
2021-04-08 00:00:00-07,publish,17
2021-04-08 00:00:00-07,post,5
2021-04-07 00:00:00-07,post,3
2021-04-07 00:00:00-07,publish,25
2021-04-07 00:00:00-07,link,13
2021-04-07 00:00:00-07,chat,1349
2021-04-06 00:00:00-07,chat,1375
2021-04-06 00:00:00-07,post,5
2021-04-06 00:00:00-07,link,4
2021-04-06 00:00:00-07,publish,40
2021-04-05 00:00:00-07,link,7
2021-04-05 00:00:00-07,post,4
2021-04-05 00:00:00-07,chat,896
2021-04-05 00:00:00-07,publish,13
2021-04-04 00:00:00-07,publish,17
2021-04-04 00:00:00-07,chat,673
2021-04-04 00:00:00-07,link,1
2021-04-04 00:00:00-07,post,5
2021-04-03 00:00:00-07,publish,5
2021-04-03 00:00:00-07,chat,894
2021-04-03 00:00:00-07,link,1
2021-04-03 00:00:00-07,post,4
2021-04-02 00:00:00-07,chat,2380
2021-04-02 00:00:00-07,post,35
2021-04-02 00:00:00-07,link,4
2021-04-02 00:00:00-07,publish,45
2021-04-01 00:00:00-07,post,19
2021-04-01 00:00:00-07,publish,15
2021-04-01 00:00:00-07,link,6
2021-04-01 00:00:00-07,chat,2333
2021-03-31 00:00:00-07,chat,2619
2021-03-31 00:00:00-07,link,13
2021-03-31 00:00:00-07,publish,27
2021-03-30 00:00:00-07,publish,47
2021-03-30 00:00:00-07,chat,1815
2021-03-30 00:00:00-07,link,4
2021-03-29 00:00:00-07,link,1
2021-03-29 00:00:00-07,publish,49
2021-03-29 00:00:00-07,chat,1515
2021-03-28 00:00:00-07,chat,1073
2021-03-28 00:00:00-07,publish,21
2021-03-27 00:00:00-07,link,4
2021-03-27 00:00:00-07,chat,726
2021-03-27 00:00:00-07,publish,20
2021-03-26 00:00:00-07,chat,1389
2021-03-26 00:00:00-07,link,10
2021-03-26 00:00:00-07,publish,26
2021-03-25 00:00:00-07,publish,46
2021-03-25 00:00:00-07,link,12
2021-03-25 00:00:00-07,chat,2381
2021-03-24 00:00:00-07,publish,34
2021-03-24 00:00:00-07,chat,1756
2021-03-24 00:00:00-07,link,11
2021-03-23 00:00:00-07,chat,1740
2021-03-23 00:00:00-07,publish,24
2021-03-23 00:00:00-07,link,11
2021-03-22 00:00:00-07,publish,37
2021-03-22 00:00:00-07,link,10
2021-03-22 00:00:00-07,chat,1892
2021-03-21 00:00:00-07,publish,12
2021-03-21 00:00:00-07,link,2
2021-03-21 00:00:00-07,chat,873
2021-03-20 00:00:00-07,link,3
2021-03-20 00:00:00-07,chat,606
2021-03-20 00:00:00-07,publish,7
2021-03-19 00:00:00-07,publish,27
2021-03-19 00:00:00-07,chat,1656
2021-03-19 00:00:00-07,link,3
2021-03-18 00:00:00-07,link,7
2021-03-18 00:00:00-07,publish,22
2021-03-18 00:00:00-07,chat,2291
2021-03-17 00:00:00-07,publish,14
2021-03-17 00:00:00-07,link,21
2021-03-17 00:00:00-07,chat,2262
2021-03-16 00:00:00-07,chat,1545
2021-03-16 00:00:00-07,publish,21
2021-03-16 00:00:00-07,link,9
2021-03-15 00:00:00-07,chat,1712
2021-03-15 00:00:00-07,publish,32
2021-03-15 00:00:00-07,link,5
2021-03-14 00:00:00-08,chat,709
2021-03-14 00:00:00-08,link,5
2021-03-14 00:00:00-08,publish,8
2021-03-13 00:00:00-08,link,3
2021-03-13 00:00:00-08,publish,12
2021-03-13 00:00:00-08,chat,903
2021-03-12 00:00:00-08,link,4
2021-03-12 00:00:00-08,publish,16
2021-03-12 00:00:00-08,chat,2389
2021-03-11 00:00:00-08,link,12
2021-03-11 00:00:00-08,publish,42
2021-03-11 00:00:00-08,chat,2410
2021-03-10 00:00:00-08,chat,2033
2021-03-10 00:00:00-08,link,26
2021-03-10 00:00:00-08,publish,21
2021-03-09 00:00:00-08,link,23
2021-03-09 00:00:00-08,chat,2792
2021-03-09 00:00:00-08,publish,19
2021-03-08 00:00:00-08,link,8
2021-03-08 00:00:00-08,chat,1625
2021-03-08 00:00:00-08,publish,19
2021-03-07 00:00:00-08,publish,12
2021-03-07 00:00:00-08,link,2
2021-03-07 00:00:00-08,chat,1110
2021-03-06 00:00:00-08,publish,25
2021-03-06 00:00:00-08,chat,1354
2021-03-06 00:00:00-08,link,2
2021-03-05 00:00:00-08,link,11
2021-03-05 00:00:00-08,chat,2896
2021-03-05 00:00:00-08,publish,36
2021-03-04 00:00:00-08,publish,31
2021-03-04 00:00:00-08,link,13
2021-03-04 00:00:00-08,chat,3056
2021-03-03 00:00:00-08,publish,41
